Player,Market Value (Euros),Predicted Market Value (Euros),Age,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
Bernardo Silva,"64,000,000","108,959,151",26,92,49.3,76.7,82.3,78.1,71.4,10.8
Virgil van Dijk,"89,999,999","91,585,106",29,73.5,90.7,77.3,71.7,74.9,65.1,11.6
Robert Lewandowski,"86,000,000","90,716,122",32,86.5,31.7,78.2,74.3,80,86.2,10.2
Giorgio Chiellini,"21,999,999","71,752,495",36,60,90.7,70.3,61.3,68.3,53.6,3
Paul Pogba,"57,999,999","63,650,527",27,88.5,65,80.2,85.3,77.1,82,4
…,…,…,…,…,…,…,…,…,…,…
Joel Pinto,"25,000","35,919",40,19,11.7,30.7,26,56.4,17.4,60.4
Dominik Kalinowski,"39,999","33,502",22,9.5,10.3,21.2,19.3,31.7,13.4,49
Shen Jun,"34,999","31,969",33,13.5,17.7,23.3,19.3,46.3,19.9,53
Joe Murphy,"30,000","26,804",39,22,18,36,26.3,41.9,18.5,60.6
Alan Bennett,"15,000","5,245",38,30,56.7,47.7,30.7,36.3,27.8,10.6
